Dataset	Embedding	Hidden Dimension	Seed	Best Val Metric	Test Metric	Parameter Count	Max Memory	Run Time
location	BCDEG	32	2	0.8480333730631704	0.6387755102040816	143978	217.2353515625	22.03502368927002
location	BCDEG	32	4	0.8539928486293206	0.6530612244897959	143978	217.2353515625	21.89132523536682
location	BCDEG	32	8	0.8510131108462455	0.6530612244897959	143978	217.2353515625	22.31773614883423
location	BCDEG	32	16	0.8432657926102503	0.6346938775510204	143978	217.2353515625	22.011629819869995
location	BCDEG	32	32	0.8474374255065554	0.6428571428571429	143978	217.2353515625	21.576751232147217
location	BCDFG	32	2	0.899880810488677	0.7081632653061225	161386	241.5048828125	23.377497911453247
location	BCDFG	32	4	0.902264600715137	0.710204081632653	161386	241.5048828125	22.880903959274292
location	BCDFG	32	8	0.8945172824791419	0.6938775510204082	161386	241.5048828125	22.482203722000122
location	BCDFG	32	16	0.8921334922526818	0.7163265306122449	161386	241.5048828125	23.106268405914307
location	BCDFG	32	32	0.8915375446960667	0.6918367346938775	161386	241.5048828125	22.47284436225891
location	BCEFG	32	2	0.8986889153754469	0.7	174442	259.70703125	23.987894535064697
location	BCEFG	32	4	0.8939213349225268	0.6877551020408164	174442	259.70703125	23.471586227416992
location	BCEFG	32	8	0.8957091775923719	0.6959183673469388	174442	259.70703125	24.014376640319824
location	BCEFG	32	16	0.8963051251489869	0.6816326530612244	174442	259.70703125	23.721279621124268
location	BCEFG	32	32	0.8915375446960667	0.7081632653061225	174442	259.70703125	23.816260814666748
location	BDEFG	32	2	0.8963051251489869	0.7020408163265306	143978	217.2353515625	21.960368394851685
location	BDEFG	32	4	0.8957091775923719	0.7163265306122449	143978	217.2353515625	21.286745309829712
location	BDEFG	32	8	0.8963051251489869	0.7061224489795919	143978	217.2353515625	21.913162231445312
location	BDEFG	32	16	0.899880810488677	0.7285714285714285	143978	217.2353515625	21.574073314666748
location	BDEFG	32	32	0.8927294398092968	0.689795918367347	143978	217.2353515625	21.778958082199097
location	CDEFG	32	2	0.8915375446960667	0.7122448979591837	126570	192.9658203125	21.005907773971558
location	CDEFG	32	4	0.9064362336114422	0.710204081632653	126570	192.9658203125	23.00224542617798
location	CDEFG	32	8	0.8986889153754469	0.7040816326530612	126570	192.9658203125	21.099472999572754
location	CDEFG	32	16	0.8939213349225268	0.689795918367347	126570	192.9658203125	21.212833881378174
location	CDEFG	32	32	0.9064362336114422	0.7204081632653061	126570	192.9658203125	20.680264949798584
location	BCDEFG	32	2	0.8957091775923719	0.7081632653061225	178794	265.7744140625	25.096782207489014
location	BCDEFG	32	4	0.8921334922526818	0.7020408163265306	178794	265.7744140625	24.721547603607178
location	BCDEFG	32	8	0.8945172824791419	0.6816326530612244	178794	265.7744140625	25.032692670822144
location	BCDEFG	32	16	0.8969010727056019	0.6979591836734694	178794	265.7744140625	25.212258338928223
location	BCDEFG	32	32	0.8939213349225268	0.7061224489795919	178794	265.7744140625	22.830521821975708
