Embedding	Accuracy	Class 1 Acc	Class 2 Acc	Class 3 Acc	Class 4 Acc	Class 6 Acc
012FG	0.7937946183415706	1856/2676	1832/2317	4933/5825	48/98	4/10
012G	0.7762218561230093	1819/2676	1782/2317	4833/5825	46/98	1/10
01B	0.7885777045579352	1815/2676	1824/2317	4932/5825	43/98	2/10
01BC	0.7499542375983892	1719/2676	1766/2317	4666/5825	41/98	2/10
01BCD	0.8120995789859052	1879/2676	1865/2317	5080/5825	46/98	3/10
01BCDE	0.804319970712063	1855/2676	1858/2317	5029/5825	42/98	4/10
01BCDEF	0.8084385868570383	1883/2676	1854/2317	5046/5825	45/98	5/10
01BCDEFG	0.8126487278052352	1899/2676	1869/2317	5064/5825	42/98	5/10
01BCDEG	0.80907926047959	1882/2676	1859/2317	5053/5825	41/98	5/10
01BCDF	0.8181402159985356	1910/2676	1866/2317	5109/5825	49/98	5/10
01BCDFG	0.8175910671792056	1908/2676	1869/2317	5103/5825	47/98	6/10
01BCDG	0.8133809262310085	1891/2676	1849/2317	5098/5825	45/98	4/10
01BCE	0.758099945085118	1726/2676	1772/2317	4745/5825	38/98	2/10
01BCEF	0.7676185246201721	1768/2676	1785/2317	4787/5825	43/98	4/10
01BCEFG	0.7741167856489108	1781/2676	1778/2317	4849/5825	46/98	4/10
01BCEG	0.761760937213985	1751/2676	1757/2317	4774/5825	37/98	4/10
01BCF	0.751418634449936	1742/2676	1746/2317	4673/5825	46/98	3/10
01BCFG	0.7648727805235219	1777/2676	1761/2317	4767/5825	48/98	4/10
01BCG	0.7446457990115322	1724/2676	1723/2317	4644/5825	43/98	2/10
01BD	0.8241808530111661	1907/2676	1888/2317	5159/5825	48/98	3/10
01BDE	0.8131978766245652	1875/2676	1862/2317	5101/5825	43/98	4/10
01BDEF	0.8151198974922204	1893/2676	1862/2317	5100/5825	46/98	5/10
01BDEFG	0.8184147904082006	1912/2676	1877/2317	5106/5825	42/98	5/10
01BDEG	0.8129233022149003	1884/2676	1861/2317	5092/5825	41/98	4/10
01BDF	0.8265604978949296	1934/2676	1888/2317	5154/5825	51/98	4/10
01BDFG	0.8246384770272744	1922/2676	1872/2317	5163/5825	48/98	5/10
01BDG	0.8217096833241808	1906/2676	1858/2317	5166/5825	45/98	3/10
01BE	0.7732015376166941	1772/2676	1788/2317	4848/5825	38/98	2/10
01BEF	0.7839099395936299	1803/2676	1804/2317	4911/5825	43/98	4/10
01BEFG	0.7893099029837086	1817/2676	1800/2317	4957/5825	46/98	4/10
01BEG	0.7762218561230093	1781/2676	1778/2317	4881/5825	37/98	4/10
01BF	0.7750320336811276	1787/2676	1782/2317	4850/5825	46/98	3/10
01BFG	0.7829946915614131	1811/2676	1778/2317	4915/5825	48/98	3/10
01BG	0.7733845872231375	1781/2676	1747/2317	4880/5825	40/98	2/10
01C	0.7433644517664287	1707/2676	1753/2317	4620/5825	40/98	2/10
01CD	0.80907926047959	1867/2676	1860/2317	5065/5825	45/98	3/10
01CDE	0.8034047226798462	1854/2676	1854/2317	5024/5825	42/98	4/10
01CDEF	0.80907926047959	1883/2676	1858/2317	5049/5825	45/98	5/10
01CDEFG	0.8123741533955702	1898/2676	1866/2317	5063/5825	43/98	6/10
01CDEG	0.8074318140215998	1878/2676	1853/2317	5044/5825	42/98	5/10
01CDF	0.8173164927695405	1911/2676	1863/2317	5102/5825	49/98	5/10
01CDFG	0.8165842943437671	1904/2676	1863/2317	5100/5825	49/98	6/10
01CDG	0.8112758557569101	1887/2676	1847/2317	5081/5825	45/98	4/10
01CE	0.7537067545304778	1720/2676	1761/2317	4713/5825	39/98	2/10
01CEF	0.7648727805235219	1756/2676	1780/2317	4774/5825	43/98	4/10
01CEFG	0.7712795167490389	1777/2676	1767/2317	4834/5825	45/98	4/10
01CEG	0.7589236683141132	1748/2676	1751/2317	4752/5825	37/98	4/10
